DEPARTAMENTO,PROVINCIA,UBIGEO,SEXO,TIPO_CONTRATO,MATERIAL_PISOS,MATERIAL_TECHOS,MATERIAL_PAREDES,NINOS_ASISTEN_COLEGIO,SITUACION_EDUCATIVA_ESPERADA,SIN_SEGURO,ESTRSOCIAL,POBREZA,ANIO,MES,GASTO_ALIMENTOS_HOGAR,GASTO_ELECTRODOMESTICOS,INGRESO_JUNTOS,INGRESO_PENSION65,HORAS_SEMANA_OCUP_PRINCIPAL,INGRESO_TOTAL,NUM_HABITACIONES,EDAD,SERVICIOS_BASICOS,RECIBIO
AREQUIPA,AREQUIPA,40112,0,Sin contrato,Piso de cemento,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,B,No Pobre,2019,1,0.0,8.29481315612793,0.0,0.0,30.0,850.0,3,42,Sí,No
AREQUIPA,AREQUIPA,40112,0,Locación / SNP,Piso de cemento,Materiales semi-formales o industriales ligeros,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,B,No Pobre,2019,1,0.0,191.99594783783,0.0,0.0,46.0,930.0,3,47,Sí,No
AREQUIPA,AREQUIPA,40107,1,Sin contrato,Piso de cemento,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,C,No Pobre,2019,1,0.0,0.0,0.0,0.0,36.0,900.0,4,75,Sí,No
AREQUIPA,AREQUIPA,40107,1,Sin contrato,Pisos formales de alto acabado,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,C,No Pobre,2019,1,0.0,223.571494102478,0.0,0.0,48.0,1500.0,4,54,Sí,No
AREQUIPA,AREQUIPA,40107,1,Indefinido,Piso de cemento,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,C,No Pobre,2019,1,421.896270751953,94.8758411407471,0.0,0.0,52.0,1300.0,6,42,Sí,No
AREQUIPA,CASTILLA,40409,1,Indefinido,Piso de cemento,Materiales semi-formales o industriales ligeros,Materiales tradicionales de tierra,Asisten,Adulto (25+) sin matrícula — no aplica,No,E,No Pobre,2019,1,0.0,19.3480067253113,0.0,0.0,0.0,1400.0,5,63,Sí,No
AREQUIPA,CASTILLA,40409,1,Plazo fijo,Piso de cemento,Materiales semi-formales o industriales ligeros,Materiales tradicionales de tierra,Asisten,Adulto (25+) sin matrícula — no aplica,No,E,No Pobre,2019,1,0.0,29.0045166015625,0.0,0.0,60.0,2600.0,2,39,Sí,No
AREQUIPA,CASTILLA,40413,0,Locación / SNP,Piso de cemento,Materiales tradicionales o semi-informales,Materiales mixtos o semi-formales,Asisten,Adulto (25+) sin matrícula — no aplica,No,E,No Pobre,2019,1,0.0,49.4135646820068,0.0,0.0,40.0,490.0,3,56,Sí,No
AREQUIPA,CASTILLA,40413,1,Sin contrato,Piso de cemento,Materiales semi-formales o industriales ligeros,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,E,Pobre No Extremo,2019,1,0.0,95.8060894012451,0.0,0.0,48.0,1200.0,2,32,Sí,No
AREQUIPA,CASTILLA,40413,0,Sin contrato,Piso precario o sin acondicionar,Materiales semi-formales o industriales ligeros,Materiales precarios o livianos,Asisten,Adulto (25+) sin matrícula — no aplica,No,E,Pobre No Extremo,2019,1,0.0,0.0,0.0,0.0,16.0,400.0,2,50,Sí,No
AREQUIPA,CAMANA,40208,1,Sin contrato,Piso de madera,Materiales tradicionales o semi-informales,Materiales mixtos o semi-formales,Asisten,Adulto (25+) sin matrícula — no aplica,No,D,No Pobre,2019,1,0.0,29.0045166015625,0.0,0.0,20.0,400.0,5,60,Sí,No
AREQUIPA,CAMANA,40208,1,Sin contrato,Piso de cemento,Materiales semi-formales o industriales ligeros,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,D,No Pobre,2019,1,0.0,126.843999862671,0.0,0.0,48.0,1680.0,3,74,Sí,No
AREQUIPA,CAMANA,40206,1,Locación / SNP,Piso de cemento,Materiales semi-formales o industriales ligeros,Materiales mixtos o semi-formales,Asisten,Adulto (25+) sin matrícula — no aplica,No,E,No Pobre,2019,1,0.0,3.80485558509827,0.0,0.0,40.0,750.0,2,32,Sí,No
AREQUIPA,CAMANA,40205,1,Sin contrato,Piso de cemento,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,D,No Pobre,2019,1,0.0,78.5824513435364,0.0,0.0,24.0,715.0,2,53,No,No
AREQUIPA,CAMANA,40205,1,Sin contrato,Piso precario o sin acondicionar,Materiales tradicionales o semi-informales,Materiales mixtos o semi-formales,Asisten,Adulto (25+) sin matrícula — no aplica,No,D,No Pobre,2019,1,0.0,7.35797595977783,0.0,1522.0,24.0,210.0,3,71,Sí,Sí
AREQUIPA,ISLAY,40704,1,Plazo fijo,Piso de cemento,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,D,No Pobre,2019,1,0.0,0.0,0.0,0.0,60.0,1400.0,3,51,Sí,No
AREQUIPA,ISLAY,40704,1,Sin contrato,Pisos formales de alto acabado,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,D,No Pobre,2019,1,0.0,95.84761095047,0.0,0.0,24.0,1500.0,2,49,Sí,No
AREQUIPA,CASTILLA,40407,1,Sin contrato,Piso de cemento,Materiales tradicionales o semi-informales,Materiales tradicionales de tierra,Asisten,Adulto (25+) sin matrícula — no aplica,No,Rural,No Pobre,2019,1,0.0,7.80651378631592,0.0,0.0,48.0,1200.0,2,35,No,No
AREQUIPA,CAYLLOMA,40514,1,Sin contrato,Piso de cemento,Materiales semi-formales o industriales ligeros,Materiales tradicionales de tierra,Asisten,Adulto (25+) sin matrícula — no aplica,No,Rural,Pobre No Extremo,2019,1,0.0,0.0,1217.0,0.0,32.0,250.0,1,42,Sí,No
AREQUIPA,CAYLLOMA,40514,1,Sin contrato,Piso de madera,Materiales semi-formales o industriales ligeros,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,Rural,No Pobre,2019,1,0.0,10.2758855819702,1217.0,0.0,42.0,930.0,3,45,Sí,No
AREQUIPA,CAYLLOMA,40514,1,Plazo fijo,Piso de cemento,Materiales semi-formales o industriales ligeros,Materiales tradicionales de tierra,Asisten,Adulto (25+) sin matrícula — no aplica,No,Rural,No Pobre,2019,1,0.0,31.5082230567932,0.0,0.0,96.0,1000.0,2,44,Sí,No
AREQUIPA,AREQUIPA,40108,1,Sin contrato,Piso de cemento,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,Rural,No Pobre,2019,1,0.0,3.01764392852783,0.0,0.0,49.0,930.0,3,65,Sí,No
AREQUIPA,AREQUIPA,40108,1,Sin contrato,Piso de cemento,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,Rural,Pobre No Extremo,2019,1,0.0,36.4358406066895,0.0,0.0,24.0,980.0,1,38,Sí,No
AREQUIPA,AREQUIPA,40108,1,Sin contrato,Piso precario o sin acondicionar,Materiales semi-formales o industriales ligeros,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,Rural,No Pobre,2019,1,0.0,11.9913721084595,0.0,0.0,48.0,484.0,1,36,Sí,No
AYACUCHO,HUAMANGA,50101,0,Plazo fijo,Pisos formales de alto acabado,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,D,No Pobre,2019,1,0.0,316.405723571777,0.0,0.0,0.0,3300.0,4,37,Sí,No
AYACUCHO,HUAMANGA,50101,1,CAS,Pisos formales de alto acabado,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,D,No Pobre,2019,1,0.0,161.380931854248,0.0,0.0,22.0,3800.0,6,44,Sí,No
AYACUCHO,LA MAR,50501,1,Sin contrato,Piso de madera,Materiales semi-formales o industriales ligeros,Materiales tradicionales de tierra,Asisten,Debería estar en superior,No,E,Pobre No Extremo,2019,1,0.0,4.13328838348389,0.0,0.0,16.0,320.0,1,24,No,No
