DEPARTAMENTO,PROVINCIA,UBIGEO,SEXO,TIPO_CONTRATO,MATERIAL_PISOS,MATERIAL_TECHOS,MATERIAL_PAREDES,NINOS_ASISTEN_COLEGIO,SITUACION_EDUCATIVA_ESPERADA,SIN_SEGURO,ESTRSOCIAL,POBREZA,ANIO,MES,GASTO_ALIMENTOS_HOGAR,GASTO_ELECTRODOMESTICOS,INGRESO_JUNTOS,INGRESO_PENSION65,HORAS_SEMANA_OCUP_PRINCIPAL,INGRESO_TOTAL,NUM_HABITACIONES,EDAD,SERVICIOS_BASICOS,RECIBIO
LA LIBERTAD,TRUJILLO,130105,0,Sin contrato,Piso de cemento,Materiales estructurales formales,Materiales tradicionales de tierra,Asisten,Adulto (25+) sin matrícula — no aplica,No,D,No Pobre,2018,12,0.0,11.6324834823608,0.0,0.0,40.0,660.0,3,50,Sí,No
LAMBAYEQUE,CHICLAYO,140101,1,Plazo fijo,Piso de cemento,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,D,No Pobre,2018,12,0.0,52.5918970108032,0.0,0.0,48.0,3600.0,2,49,Sí,No
LAMBAYEQUE,CHICLAYO,140101,0,Locación / SNP,Piso de cemento,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,D,No Pobre,2018,12,0.0,66.9093475341797,0.0,0.0,60.0,1000.0,2,43,Sí,No
LAMBAYEQUE,CHICLAYO,140112,1,Indefinido,Piso de cemento,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,B,No Pobre,2018,12,0.0,328.238661766052,0.0,0.0,0.0,2600.0,2,33,Sí,No
LAMBAYEQUE,CHICLAYO,140112,0,Plazo fijo,Piso de cemento,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,B,No Pobre,2018,12,0.0,66.425568819046,0.0,0.0,40.0,930.0,2,54,Sí,No
LIMA,LIMA,150135,1,Indefinido,Pisos formales de alto acabado,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,C,No Pobre,2018,12,0.0,228.435456514359,0.0,0.0,40.0,2938.0,3,37,Sí,No
LIMA,LIMA,150132,1,Sin contrato,Piso de cemento,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,E,No Pobre,2018,12,0.0,224.312849998474,0.0,0.0,96.0,1200.0,3,28,Sí,No
LIMA,LIMA,150137,0,Indefinido,Pisos formales de alto acabado,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,D,No Pobre,2018,12,0.0,0.0,0.0,0.0,65.0,3200.0,3,35,Sí,No
LIMA,LIMA,150137,0,Plazo fijo,Piso de cemento,Materiales estructurales formales,Materiales formales o resistente,Asisten,Debería estar en superior,No,D,No Pobre,2018,12,0.0,11.0568714141846,0.0,0.0,61.0,960.0,1,24,Sí,No
LIMA,HUAURA,150811,1,Sin contrato,Piso de cemento,Materiales semi-formales o industriales ligeros,Materiales tradicionales de tierra,Asisten,Debería estar en superior,No,D,No Pobre,2018,12,0.0,0.0,0.0,0.0,45.0,600.0,3,24,Sí,No
